id,designator,designation,qty per board,LCSC #,Footprint,PCBA Part,Price per Unit,Total Price,Purchased from
1,Flash1,Switch,1,4809-SKRKAGE020CT-ND,SW_SPST_TS-1088-xR020,no,0.41,0.82,digikey
2,J5,I2C OLED,1,4863-WEA012832FWPP3N00000-ND,PinHeader_1x04_P2.54mm_Vertical,no,5.02,10.04,digikey
3,BZ1,Buzzer,1,102-3761-1-ND,Buzzer_CUI_CPT-9019S-SMT,no,1.82,3.64,digikey
4,J1,Battery,1,1471-MIKROE-4473-ND,,no,13.08,26.16,digikey
5,"C1,C11,C12,C13,C16,C17,C19,C25,C28,C36,C38,C39",100nF,12," C307331,C1525,C49062",0402_1005,yes,0.0045,0.108,JLC_PCBA
6,"C2,C8,C30",10uF,3,C15525,0402_1005,yes,0.0051,0.0306,JLC_PCBA
7,"C3,C14,C49,C60",12pF,4,C1547,0402_1005,yes,0.0011,0.0088,JLC_PCBA
8,"C4,C6,C24,C43,C44",1uF,5,C52923,0402_1005,yes,0.0029,0.029,JLC_PCBA
9,"C5,C7,C10,C18,C20,C22,C23,C27",0.1uF,8,C1525,0402_1005,yes,0.0012,0.0192,JLC_PCBA
10,"C9,C29,C42,C45",10 µF,4, C15525,0402_1005,yes,0.0051,0.0408,JLC_PCBA
11,"C15,C50",47pF,2,C1567,0402_1005,yes,0.001,0.004,JLC_PCBA
12,C26,2.2u,1,C12530,0402_1005,yes,0.0024,0.0048,JLC_PCBA
13,C31,15pF,1,C1548,0402_1005,yes,0.001,0.002,JLC_PCBA
14,C32,1nF,1,C1523,0402_1005,yes,0.0011,0.0022,JLC_PCBA
15,C33,39pF,1, C1563,0402_1005,yes,0.0011,0.0022,JLC_PCBA
16,"C34,C35",3.3pF,2, C1565,0402_1005,yes,0.001,0.004,JLC_PCBA
17,C37,470nF,1,C1623,0402_1005,yes,0.007,0.014,JLC_PCBA
18,C40,10nF,1,C15195,0402_1005,yes,0.007,0.014,JLC_PCBA
19,C41,0.1 µF,1,C1525,0402_1005,yes,0.0012,0.0024,JLC_PCBA
20,D1,IR26-21C_L110_TR8,1,C73929,LED_SMD:LED_1206_3216Metric,yes,0.0459,0.0918,JLC_PCBA
21,D3,SS14,1,C2480,Diode_SMD:D_SMA,yes,0.0149,0.0298,JLC_PCBA
22,D7,LED_A_RGB,1,C6785001,LED_SMD:LED_RGB_Wuerth_150080M153000,yes,0.7815,1.563,JLC_PCBA
23,J1,XH-2AW,1,C157932,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,yes,0.1328,0.2656,JLC_PCBA
24,J2,USB_C_Receptacle_USB2.0_14P,1,C2894897,USB_C_Receptacle_HCTL_HC-TYPE-C-16P,yes,0.0888,0.1776,JLC_PCBA
25,J3,Conn_Coaxial,1,C411563,PCM_JLCPCB:IPEX-SMD_BWIPX-1-001E,yes,0.0644,0.1288,JLC_PCBA
26,L3,2nH,1,C77103,0402_1005,yes,0.0057,0.0114,JLC_PCBA
27,L5,9.1nH,1,C74297,0402_1005,yes,0.0035,0.007,JLC_PCBA
28,L6,4.7nH,1,C13595,0402_1005,yes,0.0026,0.0052,JLC_PCBA
29,L8,15uH,1,C3221788,0402_1005,yes,1.1715,2.343,JLC_PCBA
30,Q1,FS8205A,1,C908265,SOP65P640X120-8N,yes,0.0653,0.1306,JLC_PCBA
31,"R1,R2",5K1,2,C14677,0402_1005,yes,0.0011,0.0044,JLC_PCBA
32,R3,0R,1,C17168,0402_1005,yes,0.0005,0.001,JLC_PCBA
33,R4,1Ω,1,C25147,0402_1005,yes,0.0004,0.0008,JLC_PCBA
34,R5,1k,1,C11702,0402_1005,yes,0.0006,0.0012,JLC_PCBA
35,"R6,R8,R17",3k,3,C25559,0402_1005,yes,0.0005,0.003,JLC_PCBA
36,R7,220k,1,C25546,0402_1005,yes,0.0004,0.0008,JLC_PCBA
37,"R11,R14",4.7k,2,C25744,0402_1005,yes,0.0006,0.0024,JLC_PCBA
38,R12,1K,1,C861188,0402_1005,yes,0.0231,0.0462,JLC_PCBA
39,R13,100k,1,C25741,0402_1005,yes,0.0006,0.0012,JLC_PCBA
40,R15,1.2k,1,C25862,0402_1005,yes,0.0006,0.0012,JLC_PCBA
41,"R21,R22",10K,2,C25744,0402_1005,yes,0.001,0.004,JLC_PCBA
42,U1,BME280,1,C92489,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,yes,2.9655,5.931,JLC_PCBA
43,U2,PE4259,1,C47117600,bulk:SOT65P215X110-6N,yes,0.1361,0.2722,JLC_PCBA
44,U3,SX1262,1,C191341,Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,yes,3.102,6.204,JLC_PCBA
45,U4,DW01A,1,C351410,Package_TO_SOT_SMD:SOT-23-6,yes,0.0324,0.0648,JLC_PCBA
46,U6,USBLC6-2SC6,1,C7519,Package_TO_SOT_SMD:SOT-23-6,yes,0.1013,0.2026,JLC_PCBA
47,U7,ESP32-S3FN8,1, C2913196,QFN40P700X700X90-57N,yes,3.942,7.884,JLC_PCBA
48,U8,TP4056-42-ESOP8,1, C16581,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,yes,0.1719,0.3438,JLC_PCBA
49,U10,AP2112K-3.3,1, C23380830,Package_TO_SOT_SMD:SOT-23-5,yes,0.0968,0.1936,JLC_PCBA
50,X1,GPS_PA1010D,1, C9900050424,Adafruit PA1010D Mini GPS:GPS_PA1010D,yes,0.0365,0.073,JLC_PCBA
51,Y1,32.768 kHz,1,C32346,Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm,yes,0.1757,0.3514,JLC_PCBA
52,Y2,Crystal_GND24,1,C9900039190,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,yes,0.0365,0.073,JLC_PCBA
53,Y3,40MHz(10ppm),1,C5261125,Crystal:Crystal_SMD_2520-4Pin_2.5x2.0mm,yes,0.0882,0.1764,JLC_PCBA
