Designator,Mid X,Mid Y,Rotation,Layer
C1,95.8045,-71.8375,270.0,top
C11,121.717,-47.64,270.0,top
C14,86.607,-61.165,0.0,top
C15,95.0545,-70.0875,0.0,top
C18,80.647,-51.73,180.0,top
C2,80.637,-53.78,180.0,top
C20,83.677,-51.76,270.0,top
C22,86.297,-57.64,180.0,top
C23,94.967,-55.75,270.0,top
C24,93.957,-55.75,270.0,top
C27,91.627,-47.34,90.0,top
C28,130.567,-64.2,180.0,top
C29,122.477,-72.92,180.0,top
C3,86.367,-43.91,90.0,top
C31,81.834053,-46.33058,180.0,top
C32,89.0545,-68.0375,180.0,top
C33,87.3045,-66.0375,180.0,top
C34,83.0545,-65.5875,270.0,top
C35,79.5695,-65.5875,90.0,top
C36,94.5045,-71.8375,270.0,top
C37,103.117,-68.96,0.0,top
C38,103.0545,-64.3375,0.0,top
C39,103.0545,-65.5875,0.0,top
C4,80.647,-52.76,180.0,top
C40,90.507,-47.34,90.0,top
C41,127.147,-58.13,90.0,top
C42,128.407,-58.125,90.0,top
C43,86.477,-46.94,90.0,top
C45,90.747,-40.67,0.0,top
C49,88.837,-61.585,270.0,top
C5,80.647,-50.71,180.0,top
C50,95.0545,-68.8375,0.0,top
C6,89.407,-47.34,90.0,top
C60,91.167,-43.79,90.0,top
C7,84.277,-46.94,90.0,top
C8,85.367,-46.942164,90.0,top
C9,113.687,-40.65,270.0,top
D1,88.647,-71.84,180.0,top
D3,128.957,-54.275,0.0,top
D7,120.617,-40.88,0.0,top
J1,116.167,-65.77,270.0,top
J2,130.627,-44.865,90.0,top
J3,75.572,-66.075,180.0,top
L3,82.207,-51.12,90.0,top
L5,81.302,-66.085,180.0,top
L6,82.734053,-47.932053,135.0,top
L8,102.687,-67.39,270.0,top
Q1,126.057,-69.875,270.0,top
R1,123.802,-48.295,270.0,top
R11,83.987,-56.2,90.0,top
R12,85.417,-71.06,270.0,top
R13,123.917,-63.015,0.0,top
R14,83.517,-54.58,0.0,top
R15,127.457,-61.525,0.0,top
R17,127.457,-60.225,180.0,top
R2,123.752,-41.395,270.0,top
R21,113.577,-51.11,270.0,top
R22,82.207,-53.11,270.0,top
R3,87.547,-46.94,270.0,top
R4,128.917,-63.75,270.0,top
R5,132.167,-68.325,90.0,top
R6,117.057,-40.535,270.0,top
R7,122.917,-63.945,0.0,top
R8,118.127,-41.825,270.0,top
SW1,110.887,-74.865,0.0,top
U1,94.062,-40.995,0.0,top
U10,119.37584,-71.70884,0.0,top
U2,90.507,-66.035,180.0,top
U3,99.057,-66.1875,180.0,top
U4,130.067,-67.2,270.0,top
U6,122.002,-44.795,0.0,top
U7,89.022,-52.675,0.0,top
U8,122.257,-59.525,90.0,top
U9,94.0803,-66.087499,180.0,top
X1,105.407,-44.99,0.0,top
Y1,87.397,-59.4,0.0,top
Y2,99.037,-71.78,0.0,top
Y3,88.751,-43.915,0.0,top
